company,description,keyword,location,posted_date,title
Talenz Toadenn,"L'entreprise



Le groupe TALENZ BRETAGNE, nouvellement nommé TALENZ TOADENN, est membre fondateur du réseau TALENZ.



Basé à Rennes et Saint-Brieuc, il compte 7 associés et 80 collaborateurs répartis sur l’offre de services globale aux PME (expertise, conseil, audit, paie, droit social, droit fiscal et des sociétés), ainsi que des filiales spécialisées en gestion de patrimoine et en technologies numériques.

C’est la force d’un groupe, indépendant et pluridisciplinaire, intervenant sur des secteurs diversifiés et développant sans cesse de nouvelles offres dédiées à l’accompagnement des entreprises et des dirigeants, en apportant conseil et valeur ajoutée au quotidien.



Société dynamique et innovante, TALENZ TOADENN fédère les compétences multi-métiers et le professionnalisme de ses 80 collaborateurs, en privilégiant l’épanouissement des hommes et des femmes tant sur le plan professionnel que personnel.

Toadenn, l’Entreprise notre ADN


Talenz, Entreprendre est un art majeur



Description du poste



Dans le cadre de la mise en place de différents projets et de la structuration de nos offres de services en interne, nous recherchons un stagiaire Administrateur Systèmes et Réseaux



En lien avec le Responsable informatique et les équipes métiers, vous intervenez sur différents sujets de développement informatique du Groupe :

Déploiement de postes informatiques (Windows 10)

Suivi et maintenance du Parc informatique (GLPI/OCS Inventory)

Assistance utilisateurs / résolution d’incidents / Suivi des tickets affectés (CRM)

Gestion de l’active Directory

Réalisation de l’enrichissement des référentiels d’exploitation

Participation à l’automatisation & à l’amélioration des activités

Participation à la structuration de la documentation technique et procédures



Profil recherché



En cours de formation Bac + 3 à Bac +4 en informatique

Compétences informatiques (Windows Serveur / Active Directory / RDS / VMWare / SQL / Office 365 / McAfee)

Autonomie, excellent relationnel et dynamisme

Motivation et capacités rédactionnelles

Rigueur / capacité d’organisation et de suivi

Durée de stage : 4 à 06 mois selon convention

A pourvoir : dès que possible selon date de convention de stage

Gratification légale",devops,Talenz Toadenn,,Stage - administrateur systèmes et réseaux F/H
Groupe Créative,"ALLONS DROIT A L’ESSENTIEL !


Vous n’avez pas besoin d’être convaincu que la culture DevOps permet d’accélérer le développement des applications et d’en assurer bonne qualité, sécurité et flexibilité ? Rejoignez notre équipe DevOps !


Elle intervient principalement auprès de nos clients. Même si bien entendu, il faut aussi maintenir notre propre forge logicielle pour les projets à engagement.


Voilà le type de missions qui pourront vous être confiées :


Être capable de proposer des pipelines de déploiement adaptés aux workflows de l'entreprise et aux plateformes cibles


Proposer les architectures techniques adaptées au contexte de l'entreprise préconiser l’intégration des solutions logicielles et simplifier les procédures de déploiement.


Automatiser la mise en place de l'infrastructure associée


Accompagner les équipes techniques dans la transformation vers de nouveaux outils et méthodes de travail.


Mettre en place les outils qui permettront de mesurer la pertinence des actions mises en place et d'assurer la maintenabilité des applications et des infrastructures techniques




Voici quelques exemples d’outils utilisés chez CREATIVE et nos clients :


Outils de scripting : shell, python, groovy


Outils de build : maven, gradle, make


Outils de gestion de pipelines : Jenkins, GitlabCI, Travis CI, CodeShip


Outils de containerisation : Docker


Outils d'orchestration de containers : Kubernetes, Openshift, Swarm, CloudFoundry, Rancher


Outils de gestion de la configuration : Ansible, Chef, Puppet, Salt Stack, et les outils de tests associés


Outils de centralisation des logs, de collecte et de visualisation des métriques : Stack Elastic, Graylog, Prometheus, OpenTSDB, InfluxDB, Grafana


Plateformes de cloud public : AWS, Azure, GCP


Plateformes de cloud privé : OpenStack, CloudStack, VMWare vSphere




QUI RECHERCHONS NOUS ?


Chez CREATIVE, on aime la diversité, y compris dans les caractères et personnalités ! L’important c’est que vous soyez curieux et que vous ayez une bonne compréhension des grands principes de la culture DevOps.


Vous avez une expérience d’au moins 3 ans en informatique et une pratique de Kubernetes (K8S) sur Google Cloud (GCP) ou AWS depuis au moins 1 an.


Votre intégration dans l’équipe nécessite que vous ayez déjà mené à bien plusieurs projets significatifs sur une chaîne d’intégration continue et/ou une chaîne de déploiement continu. Vous avez une sens du relationnel et une capacité de dialogue avec les clients qui vous permet de lever toutes ambiguïtés sur le projet.




POURQUOI NOUS CHOISIR ?


Créé en 2008 à Rennes, CREATIVE est fier de ses origines bretonnes et de ses 330 salariés, présents sur toute la France. Grâce à eux, depuis plus de 10 ans, nous développons et renforçons en permanence nos expertises dans de nombreux domaines.


Au sein de notre agence rennaise (100 personnes), basée à la Courrouze, nous proposons à nos collaborateurs une grande diversité de projets dans des domaines d’activités toujours plus variés : Banque, Assurance, Santé, Télécoms, TV Numérique, Presse/Multimédia, Distribution etc.




Concrètement nous aspirons à :




La proximité
, 
l’écoute, et l’ouverture d’esprit !


Que vous travaillez à l’agence ou chez nos clients, il est important que vous vous sentiez avant tout, membre de l’équipe, acteur et collaborateur CREATIVE !


Chez CREATIVE, les managers sont là pour vous, pour vous assurer une relation de proximité avec l’entreprise et ses autres acteurs.


Il est important pour nous de vous garantir écoute et disponibilité dans chaque échange et suivi de mission, et un accompagnement dans la construction de votre parcours professionnel (formation, évolution…)




L’expertise technique
 !


Qui découle de nos activités et de notre d’excellence au service de nos clients.


Qui prend vie grâce à nos projets à haute valeur ajoutée.


Qui se veut à la pointe des technologies, en utilisant des stacks techniques adaptées et actuelles. Et décuplée grâce aux activités de formation et d’innovation développées par notre pôle CREATIVE MINDS.




Une présence dans l’écosystème Rennais.


Nous avons à cœur de participer à de nombreux évènements numériques locaux, dont vous pourrez être l’ambassadeur CREATIVE (DevFest, BreizhCamp, Rennes JS, Software Crafts(wo)manship…).




La convivialité !


Chez CREATIVE, on sait aussi déconnecter ! Nous aimons les moments de partage et de détente autour d’activités sportives ou ludiques, et de soirées entre collègues. Nous maximisons ainsi les échanges afin de nous enrichir mutuellement, tout en garantissant une bonne articulation entre la vie pro et la vie perso de chacun.




… Et pour plein d’autres raisons dont nous parlerons de vive voix !


N’hésitez pas à consulter notre page LinkedIn et notre site internet en complément.




Prise de poste :
 Maintenant si vous êtes disponible ou dans quelques mois si vous êtes en poste et avez envie de changement !


Lieu :
 Rennes",devops,Groupe Créative,,DevOps / SRE (F/H)
b<>com,"A propos de b< >com


Fournisseur de technologies pour les entreprises qui souhaitent accélérer leur compétitivité grâce au numérique, b< >com est au service des industries culturelles et créatives, des infrastructures numériques, de la défense, de l’industrie 4.0 et de la santé. Ses laboratoires mixent les talents de disciplines et cultures multiples dans les domaines de l’intelligence artificielle, de la vidéo et l’audio immersif, de la protection de contenus, des réseaux 5G, de l’internet des objets et des technologies cognitives… Issus des mondes industriel et universitaire, ses chercheurs et ingénieurs évoluent sur son campus de Rennes et ses sites de Paris, Brest et Lannion. Grâce à son équipe d’ingénierie avancée et ses moyens scientifiques propres, b< >com propose à ses clients des ingrédients et des solutions qui font la différence.


Les futures générations d’infrastructures numériques, 5G et au-delà, ouvrent des champs d’application nouveaux grâce à l’emploi de technologiques plus agiles, plus ouvertes, permettant une amélioration de la bande passante, une réduction forte de la latence, une mixité des objets connectables et une meilleure efficacité énergétique. Elles transforment aussi fortement les métiers en devenant accessibles aux équipes informatiques des entreprises et des institutions qui pourront faire le choix de les déployer et de les opérer sur leurs réseaux privés. C’est tout l’objet de l’initiative b< >com *xG*, une stratégie technologique souveraine, pour les infrastructures numériques privées, 5G et au-delà.


b< >com *xG* ambitionne de répondre aux besoins opérationnels des entreprises et des opérateurs d’infrastructures vitales, en matière de contrôle et sécurité des flux, de personnalisation du réseau et de couverture et de disponibilité améliorées.


Forte de ses expertises d’excellence et du soutien de l’Etat et des collectivités territoriales, b< >com *xG* allie les bénéfices opérationnels de coût, de cybersécurité, de frugalité, de simplicité de déploiement à sa neutralité et à son caractère souverain.


Descriptif du poste


Au sein de l’équipe Cloud Engineering de la Direction des opérations, l’ingénieur(e) Cloud Storage DevOps contribuera au développement d’une plateforme logicielle complète de type CaaS (« Container-as-a-Service) pour y déployer des frameworks et des applications issues du laboratoire IA de l’IRT. Celles-ci couvrent des domaines d’application aussi variés que le traitement du langage naturel, l’imagerie/vision par ordinateur, l’analyse des séries temporelles pour la prédiction, le traitement du signal pour les radiocommunications, la programmation dynamique.



Elle/Il aura notamment pour mission de :

Maitriser et appliquer les pratiques DevOps


Maitriser les grands principes du Machine learning et du Deep Learning


Faire l’état de l’art des solutions logicielles permettant de répondre aux besoins du laboratoire IA sur les phases d’apprentissage et d’inférence.


Sélectionner et intégrer les solutions retenues dans la plateforme logicielle et intégrer leurs cycles de vie à l’évolution de la plateforme


Définir différents profils de plateforme pour l’apprentissage (cloud) et l’inférence (edge cloud)


Contribuer au développement de la chaine smart CI/CD de b< >com en y intégrant les ingrédients IA


Participer aux tests sur les composants IA intégrés dans la nouvelle plateforme (fonctionnels, performance, benchmark)


Définir et implémenter la remontée de KPI liés aux solutions IA déployées dans la plateforme


Effectuer une veille technologique sur les solutions cloud natives dans le domaine de l’IA


Contribuer à la mise à jour de la documentation


Profil recherché


D’un niveau Bac+5 ingénieur ou Master avec 5 ans d’expérience, le/la candidat(e) possède :



Une personnalité avec :

Un gout prononcé pour le travail en équipe et le partage


Curiosité, autonomie, esprit de synthèse et rigueur


Passion pour les défis scientifiques et techniques



Pouvant justifier :

D’un niveau Bac+5 ingénieur ou Master avec 5 ans d’expérience devops


D’une bonne connaissance des outils et méthodes de développements agiles


D’une bonne maitrise des pratiques et outils CI/CD (Jenkins, Tekton …)


D’une maîtrise des architectures micro-services et des environnements cloud (Kubernetes, Docker, containerd, OpenStack, VMware, baremetal)


D’une connaissance de framework IA cloud native (kubeflow, …)


D’une connaissance des solutions cloud native de stockage distribué des données


D’une connaissance sur le calcul distribué sur GPU


D’une connaissance des outils d’observabilité d’une plateforme cloud (Prometheus, Grafana, Lokki)


D’une maitrise de l’usage de composants logiciels open source


D’une maitrise des langages bash, python, go



D’une maitrise des bonnes pratiques de développement:
 gestion de version (git), revue de code (gerrit), documentation, ide


De capacités rédactionnelles pour participer à la documentation et pédagogiques pour partager vos connaissances (maitrise impérative de l’anglais à l’écrit comme à l’oral)


Modalités



Durée :
 CDI



Date de démarrage :
 dès que possible



Localisation :
 Lannion



Candidature à envoyer à :
 job@b-com.com avec la référence du poste XG-DOP-CCIA",devops,b<>com,,Ingénieur DevOps Cloud Computing appliqué à l’IA (H/F)
TELITEM CONSULTING,"Descriptif du poste

Au sein de la direction R&D de notre client, nous recherchons aujourd’hui un profil ingénieur DEVOPS qui aura pour mission de contribuer, au sein d’une petite équipe de 4 personnes, à l’industrialisation du déploiement des solutions principalement développées dans un environnement μService/Docker. Cet ingénieur sera également affecté à une équipe agile de développement pour traiter en priorité les besoins DEVOPS et insuffler la dynamique et l’autonomie nécessaire.

Les activités principales sont :


Maintien opérationnel ou définition de pipeline CI/CD en fonction des différents produits de la chaine de

valeur VO


Mise en place d’une stratégie de déploiement outillée autour de la technologie Kubernetes
Mise en place de solutions hautement disponibles, scalables…
Industrialisation de nos déploiements dans une stratégie globale de « Platform as a code ».
Recueil des besoins des OPS / Accompagnement des OPS dans une démarche DEVOPS
Contribution à l’élaboration et aux moyen de déploiement automatique de stack de

monitoring/observabilité


Veille technologique sur le DEVOPS

Profil recherché

De formation Ingénieur ou Université, vous cumulez d'une expérience d'au moins 3 ans sur un poste similaire. Vous disposez des compétences suivantes :
Expérience(s) concrète(s) du déploiement d’applications basées sur des μServices et déployées en Docker, Kubernetes
Bonne connaissance des services proposés par les cloud publics : AWS, GCP, AZURE
Connaissance des infras virtualisées VMWare/VPhere
Gestion de configuration GIT
Intégration Continue et déploiement continu : Jenkins 2, Docker, Ansible.
Mindset « Agile », « DEVOPS » : Travail dans organisation Scrum (framework de travaik : SAFe)
Autonomie, rigueur et curiosité
« Techlead spirit » : Formateur, Expert, Facilitateur, Coach.

Entreprise

Créé début 2014, telitem se positionne comme expert en convergence technologique sur la région du Grand Ouest.

Basé à Paris, Rennes et Nantes, nous intervenons sur trois grands domaines métiers :

Télécoms, réseaux et multimédias,

Système d’information et informatique mobilité,

Informatique embarquée.



Autres offres de l'entreprise

Processus de recrutement

1- Réception et étude des candidatures



2- Sélection



3- Premier entretien (téléphonique) avec une chargée de recrutement.



4- Deuxième entretien ( téléphonique ou physique) avec le responsable de la BU.



5 - Annonce du choix final au candidat

Conseils

Soyez vous même !

Personne en charge du recrutement

Samia AIT MOUSSA - 
chargée de recrutement",devops,TELITEM CONSULTING,,Ingénieur DEVOPS F/H
Okwind,"Créée en 2009, OKwind est une entreprise innovante basée à Vitré (35) à proximité de Rennes. L’entreprise est spécialisée dans la conception, la fabrication et l’installation de systèmes de production d’énergie renouvelable. Initialement focalisée sur le développement du petit éolien à axe vertical, l’entreprise décolle réellement à partir de 2014 avec la conception de trackers solaires. Okwind connait depuis une croissance à 2 chiffres et se positionne comme un acteur majeur de l’ENR français.
En 2019, Okwind a ouvert sa filiale Lumioo dédiée à la vente de trackers solaires pour le marché BtoC (https://lumioo.com/).
Dans le cadre du développement de son activité, le groupe Okwind, société mère de Okwind et Lumioo, souhaite renforcer son équipe au sein du département R&D en recrutant un.e DevOps (H/F).
Sous la responsabilité du directeur R&D, votre mission principale sera de développer les infrastructures, les bases de données et les logiciels nécessaires au bon fonctionnement des plateformes de management de l’énergie de la société.
Compétences et connaissances requises : 
Développement et gestion d’infrastructures serveurs.
Développement de base de données relationnelles et NoSQL.
Mise en œuvre des tests et déploiements logiciels.
Niveau d’anglais professionnel.
Les connaissances suivantes sont un plus : 
Les SGBD MariaDB et MongoDB
Les écosystèmes python, PHP ou node.js
Les outils Git & GitLab
Les outils de gestion serveurs comme Ansible, Docker ou Kubernetes
Profil recherché : 
Une personne rigoureuse avec une bonne vision systémique qui saura assurer la qualité, la cohérence et la scalabilité de ses développements.
Une bonne capacité de communication pour pouvoir aisément discuter avec le reste de l’équipe informatique mais également les équipes électrotechniques et mécaniques.
Une personne autonome et proactive.
De formation Bac+5 en informatique, vous justifiez d’une expérience d’au moins trois ans, dans le développement, la gestion de base de données et les infrastructures serveurs.
Statut : Cadre
Type d'emploi : Temps plein, CDI
Avantages :
Participation au Transport
RTT
Titre-restaurant
Horaires :
Du Lundi au Vendredi
Repos le Week-end
Expérience:
DevOps: 3 ans (Souhaité)
Langue:
Anglais (Souhaité)
Télétravail:
Temporairement en raison du COVID-19",devops,Okwind,,DevOps (H/F)
AUBAY,"Ingénieur DevOps (F/H)
Pour renforcer nos équipes Cloud et Devops et travailler chez un de nos clients Grand Compte du secteur bancaire, nous recherchons un profil Site Reliability Engineer (SRE) / Devops.
Les missions
﻿
Au sein d’une équipe dynamique et motivée, vous serez en charge de la 
création et de la gestion de chaines CI/CD
. Le développement sera orienté 
Infrastructure As 
Code
 (Terraform). Vous gérerez les conteneurs et leur orchestration (Kubernetes, Openshift)
Vous serez responsable du 
monitoring des infrastructures au sein des environnements Projet et Production
. Vous accompagnerez les équipes Projet dans la mise en œuvre des bonnes pratiques DEVOPS.
L’environnement technique
L’environnement technique dans lequel vous évoluerez sera très riche.
Usine logicielle
 : GitLabCI, JENKINS, MAVEN, ARCHIVA, ARTIFACTORY
Cloud Privé
 : OPENSTACK
Cloud Public
 : AWS / AZURE / GCP
CAAS/PAAS
 : DOCKER, KUBERNETES, OPENSHIFT
Bases de données : 
 ORACLE / SQL server/ POSTGRE
OS 
: Windows, Linux REDHAT
Paris - Ile de France
Salaire : De 40 K€ à 68 K€ Selon profil
Télétravail possible
Les compétences
Une ou plusieurs expériences significatives dans des environnements de production sont nécessaires pour cette mission. Vous évoluerez dans un contexte critique à forts enjeux. Votre rôle implique une connaissance et une application stricte des politiques de sécurité. Enfin, vous devrez maitriser les environnements dev et ops.
L’expérience AUBAY
o 
Un process de recrutement court
o 
Une
 
communauté d’experts
 pour échanger et partager au travers d’une Cellule d’expertise
o 
Un accompagnement personnalisé
 pour une montée en compétence technique et fonctionnelle.
o 
Un Lab’ Innovation
 en pleine ébullition pour faire émerger les sujets novateurs de demain
o 
Le tout dans un cadre fun 
avec de nombreuses occasions de partager des moments festifs entre collègues !
N’attendez plus et rejoignez les Talents Aubay.
Statut : Cadre
Type d'emploi : Temps plein, CDI
Salaire : 40 000,00€ à 68 000,00€ par an
Avantages :
Titre-restaurant
Horaires :
Du Lundi au Vendredi
Expérience:
ingenieur sre / devops (h/f) ou similaire: 2 ans (Souhaité)
Télétravail:
YES_OCCASIONALLY",devops,AUBAY,,Ingénieur DevOps (F/H)
GRUEL FAYER,"GRUEL FAYER
 (95 M€ de CA, 90 collaborateurs) filiale du réseau IMPAACT est spécialisé dans la distribution de produits de protection des plantes et de semences auprès de négoces agricoles.
Dans le cadre de notre forte croissance nous recrutons un /une
ADMINISTRATEUR RESEAU ET SYSTEMES
MISSIONS
Rattaché(e) au Responsable SI, vos missions sont les suivantes :
Superviser l’infrastructure des systèmes et réseaux
Garantir le bon fonctionnement
Gérer les évolutions matérielles et logicielles (être force de proposition sur les évolutions à mettre en place - déployer et gérer la mise en place des solutions retenues)
Assurer la protection du SI et sa fiabilité
Sécuriser et sauvegarder la production, sécuriser les flux, déployer des solutions de repli ou de contournement (PRA / PCA)
Mettre en place un enregistrement et suivi des incidents
Mettre en place un audit et suivi de sécurité
Gérer le déploiement de nouveaux sites / sociétés
Déployer notre stratégie sur des sites partenaires
Définition du plan d’action, acteur de la mise œuvre et suivi (Quelques déplacements sont à prévoir dans ce cadre)
Mise en place de routage intersites, Firewall, Filtrage de flux, VPN end user
Gestion de la téléphonie
Gestion des contrats et renouvellement téléphonie mobile
Gestion du déploiement de la téléphonie IP sur nos sites
ENVIRONNEMENT TECHNIQUE
Systèmes : Windows serveur 2012, 2016, 2019, Windows 8, Windows 10, Linux.
Infrastructure : VMware, VSphere
Outils : Active Directory, GPO, Office 365, RDS, WSUS,
Sécurité : Fortinet, ESET, Veeam
PROFIL RECHERCHE
Rattaché(e) au Responsable des systèmes d’informations, vous prenez en charge les différents projets et missions qui vous sont délégués. Vous êtes le garant de leur réalisation et de leur bon fonctionnement.
Issu(e) d’une formation supérieure (bac+2/4) en informatique, orientée système & réseaux, vous disposez d’une expérience confirmée de 3 ans minimum.
Vous savez travailler en autonomie, vous êtes organisé et rigoureux, disposez d’une capacité à former et à la rédaction de la documentation technique. Vous êtes curieux et force de proposition.
Rigoureux (se) et organisé(e), votre expérience professionnelle vous permet d’être parfaitement autonome et force de proposition sur des aspects techniques de la gestion du SI.
Type d'emploi : Temps plein, CDI
Salaire : 1 967,00€ à 2 405,00€ par mois
Avantages :
Épargne salariale
RTT
Titre-restaurant
Horaires :
Travail en journée
Rémunération supplémentaire :
13ème Mois
Prime annuelle
Mesures COVID-19:
GRUEL FAYER déploie un plan d'activité et de continuité en application du PROTOCOLE NATIONAL du 31 août 2020 POUR ASSURER LA SANTÉ ET LA SÉCURITÉ DES SALARIÉS EN ENTREPRISE FACE À L’ÉPIDÉMIE DE COVID-19.
Expérience:
administrateur réseaux et systèmes h/f ou similaire: 5 ans (Souhaité)
Télétravail:
Temporairement en raison du COVID-19",devops,GRUEL FAYER,,Administrateur Réseaux et Systèmes H/F
Conserto,"Avant de parler boulot, parlons un peu de l’entreprise !



CONSERTO est née il y a 7 ans à Nantes, désormais notre siège. On s'est beaucoup développé, aujourd'hui nous sommes plus de 400 salariés répartis sur 8 agences : Nantes, Rennes, Niort, Paris, Montpellier, Toulouse, Bordeaux & Lyon !



Nous avons voulu une société Agile, au plus proche de nos collaborateurs et de nos clients,



Comment ?




Par l'indépendance de nos agences


Une relation 1 TO 1 avec l'ensemble des parties prenantes


Une société technophile basée sur la création de communautés de passionnés et d'experts sur les métiers du digital, cloud, embarqué & robotique.




 Notre modèle est basé sur 
l’accompagnement de chacun
, 
l’innovation permanente
, et 
l’expertise technique.



Pourquoi Conserto ?




Pour construire un 
projet pro/carrière
 (Formations, Conférences, évènements techniques)


Pour être dans une société où il fait 
bon vivre
 (mobilité restreinte, Great Place to Work)


Pour rejoindre une 
équipe
 (soirées d’agences, afterworks, défis sportifs, Ludoserto)




Dans le cadre de notre développement, nous recherchons un développeur fullstack web / Devops. Vous interviendrez sur des projets audiovisuels à forte valeur ajoutée de réception de flux live et de production vidéo.




Rédaction des spécifications techniques et fonctionnelles


Participation à l’architecture


Conception et développement Fullstack


Validation et recette


Rédaction de la documentation technique


Containerisation de la solution via Docker / Kubernetes


Solution SAAS


Mise en place de l'intégration continue




Nous recherchons en priorité une personne passionnée, qui a de l’autonomie sur les environnements suivants :




Maitrise des 
technologies JS 
front & back : NodeJS, Angular7, React


MongoDB


Jenkins, Solar


Connaissance des technologies Docker, Kubernetes, AWS ou Azure




Nous n'attendons plus que vous !


-> Cette offre est ouverte aux personnes en situation de handicap",devops,Conserto,,Développeur web fullstack / Devops
Talentiel-RH,"Notre Groupe
Donnez du sens à votre métier !!!
Editeur logiciels et intégrateur de notre solution, notre groupe compte aujourd’hui 
1000 experts
 
répartis dans 29 pays.
Notre cœur de métier est le développement et l´implémentation de solutions ERP pour les Industriels. Nous comptons plus de 
3000 clients dans des industries 
comme la fabrication de machines, de biens d’équipement, l’automobile, l’électronique…
Cet ERP industriel, flexible et ajustable, nous permet d'offrir la meilleure couverture fonctionnelle à nos clients : des achats aux ventes, de la production à la comptabilité, jusqu'aux outils de l'e-business.
Notre capacité à accompagner nos clients à l’international et nos implémentations réussies sont des atouts majeurs sur nos marchés cibles.
Et surtout, nous pouvons compter sur 
nos collaborateurs motivés
 pour lesquels nous apportons une véritable attention.
En pleine phase de conquête en France
, nous complétons nos équipes de Nantes
. C’est l’opportunité pour un 
ingénieur commercial 
de nous rejoindre.
Votre Mission
Vous aurez en charge le développement du Business de notre ERP industriel par la 
bonne
 
exploitation des leads que nous vous apportons
, ceci en portant les valeurs du groupe : expertise métier & relation de qualité.
Votre mission sera ainsi :
· Savoir exploiter, suivre, et concrétiser les affaires
· Orchestrer les ressources avant-vente (les moyens techniques avant-vente sont significatifs ; le poste ne nécessite pas réellement de faire des démonstrations)
· Participation active aux opérations de promotion (petits déjeuners, salons…)
· Animer, et entretenir la relation avec des partenaires apporteurs d’affaires ou relais de business
Il n'y a pas de prospection téléphonique ni de démonstration progiciel à effectuer
. Nous attentons davantage un ingénieur d'Affaires, qui saura gérer les étapes clés d'un projet.
Nous attendons que vous soyez impliqué(e) et pro actif dans la construction de votre business. A ce titre, vous aurez 
tout le support du Directeur Commercial
, avec qui vous serez en relation directe.
Vous serez rattaché(e) à notre 
à notre agence de Nantes, mais vous pourrez résider ailleurs qu’à Nantes du moment que vous habitez sur votre secteur Ouest.
Le package est attractif : commissions non plafonnées, statut cadre, véhicule de fonction dès la période d’essai, I Phone, I Pad…
Votre Profil
H/F de niveau Bac+3 minimum, 
idéalement issu d’un éditeur de logiciel
, vous avez une culture commerciale et un sens fort de la curiosité. Vous avez l’aptitude à comprendre les métiers de l’industrie.
Organisé(e) et autonome, vous êtes rompu(e) aux ventes complexes, dans une stratégie de 
réussite pérenne avec les futurs clients.
Proposant et pro actif, vous saurez vous investir pleinement dans votre mission, avec implication et plaisir.
Vous maitrisez l’anglais.
Vous souhaitez vous inscrire durablement dans une sympathique équipe à taille humaine.
Intéressé(e) pour nous rejoindre ? Alors adressez-nous votre dossier de candidature (lettre de motivation + CV).
Statut : Cadre
Type d'emploi : Temps plein, CDI
Salaire : 60 000,00€ à 100 000,00€ par an
Horaires :
Travail en journée
Expérience:
Ingenieur commercial (f/h) ou similaire: 4 ans (Souhaité)
Industrie: 3 ans (Souhaité)
ERP: 5 ans (Requis)",machine learning,Talentiel-RH,,Ingénieur Commercial ERP
Telitem,"QUI SOMMES-NOUS
 
?



Créé début 2014, telitem se positionne comme expert en convergence technologique sur la région du Grand Ouest.



Basé à Rennes (siège social), Nantes et Paris, nous intervenons sur trois grands domaines métiers :




Télécoms, réseaux et multimédias,


Système d’information et informatique mobile,


Informatique embarquée.




Nous avons besoin de vous !



QUELLE EST LA MISSION
 
?



Dans un contexte de développement IT, nous recherchons pour l’un de nos clients, un 
Ingénieur / Intégrateur DevOps (F/H)
.



Au sein d’une équipe technique, vos principales tâches seront :


Conception, déploiement, exploitation et optimisation des infrastructures web,


Implémentation des outils de configuration et d’automatisation pour simplifier les processus de déploiement,


Contribution aux projets de développement,


Analyse et résolution des anomalies liées à la performance et à la scalabilité des systèmes,


Définition et mise en œuvre des bonnes pratiques DevOps.



QUELLES SONT LES QUALITES RECHERCHEES
 
?

De formation Bac +4/5 en informatique, vous justifiez d’un 
minimum de deux années d’expérience réussie sur un poste similaire
.



Vous maîtrisez ou justifiez grâce à des expériences aboutis d’une bonne connaissance des points techniques suivant:




Système d’exploitation : Linux (Redhat et Debian).


Serveurs d’applications : Apache/Tomcat, Jboss.


Automatisation/configuration : Ansible, Puppet, Git.


Outils de virtualisation/conteneur : Docker, VMWare.


Langages de script : Shell, Python.


Intégration continue : Jenkins.


Méthodologie : Agile, Scrum.




Vous êtes passionné(e), impliqué(e) et doté(e) d’un fort esprit d’initiative ?



Le poste correspond à vos ambitions professionnelles ? N’hésitez pas ! Postulez !



Poste en CDI à Rennes.



Rémunération : Selon le profil et l’expérience



Contact : recrutement@telitem.com",devops,Telitem,,Ingénieur / Intégrateur DevOps
